language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave
14,SBC025,0.92399596302268,-0.952741202195264,0.016616477989921,0.0140462669528652,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC027,0.928297616046377,-0.953956545350603,0.0164440966569841,0.01828683260918,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC028,0.931833448154439,-0.948378731712627,0.0178401100314821,0.012667144528388,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC029,0.929852396889604,-0.952221691880023,0.0165042047165918,0.0151725850826176,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC030,0.923442450342729,-0.954060268113127,0.0153047841700422,0.0141683708250267,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC031,0.931357867025169,-0.942750342349662,0.0168094888013216,0.0114240110091537,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC032,0.92749393963335,-0.946212395183376,0.0168257820102723,0.0125974627520996,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC033,0.931627001750071,-0.951980149508144,0.0181080282943047,0.0174788235313395,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC034,0.930253345060209,-0.944266191500997,0.0166281742421256,0.0120556745058697,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC035,0.924712138291161,-0.950575823104742,0.0159322889918835,0.0142300514991427,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC036,0.929753694742971,-0.957252238315514,0.0158467665268811,0.0166326166432113,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC037,0.933449523183186,-0.943900664720256,0.0182358728019942,0.0122941186124921,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC038,0.92341994442994,-0.95665579337678,0.0150587090982906,0.0164186710880664,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC039,0.926344187937999,-0.954265730435345,0.0163331606278957,0.0150977391146598,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC040,0.920053574395715,-0.957479571908038,0.0129838006262345,0.0135369954455151,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC041,0.926438512178457,-0.950761754079402,0.0154808943441443,0.0132063371605155,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC042,0.932341833734083,-0.943433686908907,0.0162661875295841,0.0109982163429617,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC043,0.924427518127322,-0.954553940997946,0.0141536824781118,0.0151809659364862,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC044,0.925927232021312,-0.958797648874502,0.0143041926557842,0.014350867506527,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC045,0.926592034827144,-0.951071441121175,0.0160501356216717,0.0142915723978161,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC046,0.927161197852207,-0.963761166110408,0.0144367661023873,0.0182656836025396,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC047,0.927814838028121,-0.951723088626665,0.0158404239892671,0.014742434772072,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC048,0.937891572609337,-0.943004017092409,0.0196738292990281,0.0123126813005073,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC049,0.928155624457087,-0.945699923091351,0.0169292057668607,0.0119209847958657,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC050,0.932931724619044,-0.943255818812257,0.0168057846581055,0.0116294981896693,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC051,0.930310292937992,-0.945468387841435,0.0172850894131717,0.0123777156895773,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC052,0.926948166939478,-0.950304262532469,0.0157811847675255,0.0137202510456276,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC053,0.924069029613532,-0.954374646791517,0.0157065069027084,0.0146093726883837,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC054,0.924735864608663,-0.954515816511259,0.0152312804731694,0.0141885083264426,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC055,0.923795286802873,-0.946711458485957,0.0162151003275205,0.0127487094939753,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC056,0.927118500639405,-0.943094101015532,0.0165944956907827,0.0112353837214635,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC057,0.930545642503395,-0.946696240093717,0.0163216476860647,0.0125315432466924,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC058,0.931735613070589,-0.944011405678335,0.0172137724494016,0.0125191924721059,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC059,0.929290889919332,-0.946028535676214,0.0167153280703813,0.0133609712326349,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC060,0.923148429821823,-0.95513927092132,0.0147715952975201,0.0137917591748919,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
